year,state,winner,party,winVotes,totalVotes,runnerUp,ruParty,ruVotes,rawMargin,decMargin
2004,Nebraska,"Bush, George W.",republican,512814,778186,"Kerry, John",democrat,254328,258486,0.3321648037872693
2008,Nebraska,"McCain, John",republican,452979,801281,"Obama, Barack H.",democrat,333319,119660,0.1493358759286692
2008,Nebraska,"McCain, John",republican,452979,801281,"Obama, Barack H.",democrat,333319,119660,0.1493358759286692
2012,Nebraska,"Romney, Mitt",republican,475064,794379,"Obama, Barack H.",democrat,302081,172983,0.2177587776111906
2012,Nebraska,"Romney, Mitt",republican,475064,794379,"Obama, Barack H.",democrat,302081,172983,0.2177587776111906
2016,Nebraska,"Trump, Donald J.",republican,495961,844227,"Clinton, Hillary",democrat,284494,211467,0.2504859474999022
2016,Nebraska,"Trump, Donald J.",republican,495961,844227,"Clinton, Hillary",democrat,284494,211467,0.2504859474999022
2000,Nevada,"Bush, George W.",republican,301575,609426,"Gore, Al",democrat,279978,21597,0.03543826485906415
2000,Nevada,"Bush, George W.",republican,301575,609426,"Gore, Al",democrat,279978,21597,0.03543826485906415
2004,Nevada,"Bush, George W.",republican,418690,829587,"Kerry, John",democrat,397190,21500,0.025916510263540804
2004,Nevada,"Bush, George W.",republican,418690,829587,"Kerry, John",democrat,397190,21500,0.025916510263540804
2008,Nevada,"Obama, Barack H.",democrat,533736,967848,"McCain, John",republican,412827,120909,0.12492560815334647
2008,Nevada,"Obama, Barack H.",democrat,533736,967848,"McCain, John",republican,412827,120909,0.12492560815334647
2012,Nevada,"Obama, Barack H.",democrat,531373,1014918,"Romney, Mitt",republican,463567,67806,0.06680933829136931
2012,Nevada,"Obama, Barack H.",democrat,531373,1014918,"Romney, Mitt",republican,463567,67806,0.06680933829136931
2016,Nevada,"Clinton, Hillary",democrat,539260,1125385,"Trump, Donald J.",republican,512058,27202,0.02417128360516624
2016,Nevada,"Clinton, Hillary",democrat,539260,1125385,"Trump, Donald J.",republican,512058,27202,0.02417128360516624
2000,New Hampshire,"Bush, George W.",republican,273559,569081,"Gore, Al",democrat,266348,7211,0.012671306896557766
2000,New Hampshire,"Bush, George W.",republican,273559,569081,"Gore, Al",democrat,266348,7211,0.012671306896557766
2004,New Hampshire,"Kerry, John",democrat,340511,678287,"Bush, George W.",republican,331237,9274,0.013672678379505976
